id	title	blueprint_section	component	depends_on	verification_cmd	codex_ready	notes	detail
T066	Create metadata-first filter indexes	RV§4	retrieval-indexing	data-schema	EXPLAIN shows metadata predicates applied before similarity execution	yes		Create B-tree and GIN indexes constraining repository, crate, language, record kind, branch, visibility, policy, commit, path, time, symbol kind, build, agent, and lease before similarity work; ACORN and capability-gated indexes carry filter predicates into ANN traversal.
T067	Configure lexical BM25 retrieval	RV§4	retrieval-indexing	postgres-ruvector-store	exact-identifier lexical query returns the expected record	yes		Configure PostgreSQL tsvector/GIN and RuVector sparse BM25 (pg_sparse_bm25) storing terms, field lengths, weights, and analyzer provenance so exact identifiers, diagnostics, paths, compiler errors, and rare symbols remain retrievable without semantic dilution.
T068	Configure tiered vector indexes per workload	RV§4	retrieval-indexing	postgres-ruvector-store	per-workload index type present; ruhnsw_stats reports healthy index	yes		Configure the hnsw access method as the default hot semantic index (diagnostics via ruhnsw_*); DiskANN/SPANN for disk scale; LSM-ANN for high-write agent memory; Matryoshka and PQ/RaBitQ for compute/storage reduction; IVFFlat for bulk partitions; support cosine, dot-product, L2, L1, sparse, binary/scalar/product quantized, and MaxSim similarity.
T069	Implement hyperbolic hierarchy retrieval	RV§4	retrieval-indexing	postgres-ruvector-store	ruvector_poincare_distance queries return hierarchy-consistent neighbors	yes		Represent repository, type, dependency, task, and agent hierarchies as Poincaré and Lorentz embeddings; use Möbius addition and exponential/log maps to preserve hierarchy during updates and reranking.
T070	Persist fusion configuration and ranking state	RV§4	retrieval-indexing	data-schema	a past query's ranking is reconstructable from stored state	yes		Retain component scores for BM25, dense, sparse, hyperbolic, graph, MaxSim, attention, and recency signals; store fusion configuration, normalization, query plan, retrieval-set membership, discarded results, and final ranking.
T071	Record per-generation embedding provenance	RV§4	retrieval-indexing	witness-chain,data-schema	provenance join resolves for every embedding row; old generation preserved after model update	yes		Each embedding must reference exact input object/chunk ranges, AST/symbol identity, preprocessing, model digest, tokenizer, dimensions, dtype, quantizer, adapter, SONA state, device, parameters, timestamps, and witness entry; a model update creates a new embedding generation rather than overwriting lineage.
T072	Wire semantic IDE retrieval in one snapshot	RV§4	retrieval-indexing	codedb-ingress,postgres-ruvector-store	single-transaction IDE query test spans definition-to-bytes join	yes		Join file/repository/workspace/crate/module/AST/symbol/function/type/call/diagnostic/test/build/documentation retrieval directly to byte-complete objects; definition, reference, call hierarchy, dependency impact, semantic diff, breakage prediction, and edit context execute within the same transaction snapshot.
T073	Wire index-maintenance background workers	RV§4	retrieval-indexing	witness-chain,postgres-ruvector-store	generation advance is atomic and a prior generation reconstructs	yes		Ingress enqueues lexical, embedding, graph, and index refresh work; background workers claim database leases, build derived records, validate coverage and recall, attach witnesses, and atomically advance the active generation; old generations remain reconstructable.
T074	Model typed graph plane schema	RV§5	graph-gnn-causal	data-schema	node/edge type catalog matches the blueprint enumeration	yes		Store typed nodes for repositories, commits, trees, files, chunks, AST elements, symbols, types, crates, packages, build units, tests, tasks, agents, prompts, models, adapters, secrets, executions, artifacts, releases, forecasts, and witnesses, with typed edges for containment, definition, reference, call, import, dependency, build input, generated-from, transformed-by, executed-by, authorized-by, caused, observed, failed-with, repaired-by, supersedes, belongs-to-branch, promoted-from, and attested-by.
T075	Wire ruvector-graph query surfaces	RV§5	graph-gnn-causal	postgres-ruvector-store	ruvector_cypher and ruvector_sparql queries succeed over the graph plane	yes		Wire ruvector-graph to supply property graph storage, Cypher, RDF, SPARQL, adjacency, shortest path, weighted path, and dynamic updates.
T076	Wire GNN learning with training lineage	RV§5	graph-gnn-causal	retrieval-indexing	ruvector_gnn_train run records source and training lineage	yes		Wire ruvector-gnn, GraphSAGE, GCN, message passing, attention, graph transformers, and GNN reranking to learn local and global structure while retaining exact source and training lineage.
T077	Wire FastGRNN/Tiny Dancer routing	RV§5	graph-gnn-causal	sona-rl	ruvector_route returns an agent from the registered set	yes		Wire FastGRNN/Tiny Dancer to route requests, contexts, models, tools, agents, and escalation tiers from low-cost recurrent state.
T078	Record causal graph and wire causal traversal	RV§5	graph-gnn-causal	witness-chain,cow-branching	causal traversal isolates root cause on a seeded test case	yes		Record interventions, observations, temporal order, dependency direction, justification paths, recall certificates, and counterfactual branch results; causal traversal must power breakage prediction, code-edit verification, dependency verification, and root-cause isolation.
T079	Run dynamic MinCut failure isolation	RV§5	graph-gnn-causal	none	ruvector_mincut isolates a seeded failure domain	yes		Run RuVector MinCut subpolynomial dynamic minimum-cut over changing dependency, task, memory, model, and failure graphs to isolate failure domains, hallucination/drift boundaries, compromised or ungrounded endpoints, unstable release regions, and toxic feedback loops.
T080	Wire condensation, sparsification, and gated inference	RV§5	graph-gnn-causal	none	gated_transformer_gate_decision limits inference to gated regions	yes		Apply graph condensation and sparsification that retain cut structure while reducing execution cost; use ruvector-attn-mincut and gated transformers to restrict expensive inference to high-value connected regions.
T081	Wire self-healing graph repair loop	RV§5	graph-gnn-causal	cow-branching,witness-chain	healing worker repairs a seeded inconsistency via a branch gate	yes		Deploy self-healing workers that detect disconnected, stale, contradictory, or weakly grounded regions; propose repair edges; replay affected paths; validate witnesses; and merge repairs through branch gates.
T082	Implement cut-based safe task partitioning	RV§5	graph-gnn-causal	cow-branching	partition assignment yields non-overlapping agent scopes	yes		Use cut boundaries and dependency direction to allocate non-overlapping work to agents, forming the failure isolation, repair, replay, and promotion loop (swarm immune-system behavior).
T083	Attach mandatory identifiers to all nodes/edges	RV§5	graph-gnn-causal	data-schema,witness-chain	constraint audit; projection-delete test preserves source bytes and history	yes		Every node and edge carries tenant, branch, generation, source object, source range, relation type, weight, causal direction, creator execution, valid-time, transaction-time, policy, and witness identifiers; deleting a projection never deletes its source bytes or historical edge generations.
T084	Create lifeos_runtime.branch table	RV§6	cow-branching	data-schema	table exists with all required columns	yes		lifeos_runtime.branch records parent branch, base commit LSN, creator, purpose, policy, model/adapters, and branch kind.
T085	Create branch_overlay table	RV§6	cow-branching	data-schema	overlay write test records ordered change sequence	yes		branch_overlay records table, logical key, operation, base row digest, replacement row bytes/JSONB, and ordered change sequence.
T086	Implement branch resolution views	RV§6	cow-branching	postgres-ruvector-store	branch view query returns correct overlay precedence at one snapshot	yes		Branch views resolve overlay → nearest ancestor → canonical base at a single MVCC snapshot; original byte objects remain content-addressed and referenced from every branch without duplication.
T087	Route branch-scoped writes to overlays only	RV§6	cow-branching	none	canonical base rows unchanged after branch writes	yes		Agent proposals, isolated refactors, prompt variants, package variants, generated configuration trials, build/test branches, simulated future branches, and release-candidate branches write only to their overlay and branch-scoped derived generations.
T088	Write immutable gate results against branch head	RV§6	cow-branching	witness-chain	gate result rows are immutable and pinned to the branch head	yes		Build, test, static analysis, forecast, security, causal, dependency, byte-reconstruction, and witness gates write immutable results against the exact branch head.
T089	Implement merge with conflict records and witness	RV§6	cow-branching	witness-chain	merge test produces conflict record plus appended witness in one serializable transaction	yes		Merge computes key, byte, AST, semantic, graph, policy, and release conflicts; conflict records preserve both inputs and resolution bytes; a serializable transaction applies the accepted overlay, advances the parent generation, and appends a SHAKE256 witness.
T090	Implement gated promotion and rollback pointers	RV§6	cow-branching	nix-release-gate,witness-chain	rollback test re-materializes a prior generation byte-perfect	yes		Winning-timeline promotion changes the active branch pointer only after every gate succeeds; atomic activation follows database promotion; rollback changes the pointer to a prior witnessed generation and re-materializes its exact projections.
T091	Mirror branch membership into RVF and round-trip	RV§6	cow-branching	ruvllm-agentdb-rvf-integration	overlay round-trip completes before execution ack	yes		RVF COW_MAP and MEMBERSHIP segments mirror branch membership for portable agents; AgentDB and RVF round-trip their overlays to the PostgreSQL branch rows before execution acknowledgement.
T092	Install AgentDB 3.0.0-alpha.18 RVF-first backend	RV§7	ruvllm-agentdb-rvf-integration	postgres-ruvector-store,sona-rl	AgentDB version check; feedback identifiers link memory results to updates	yes		Install AgentDB 3.0.0-alpha.18 as the active cognition surface: RvfBackend, semantic routing, SONA, temporal compressor, contrastive training, federated sessions, causal memory, MinCut, GNN/attention, adaptive solvers, Reflexion, SkillLibrary, NightlyLearner, and recall certificates, with retrieval feedback identifiers connecting each memory result to quality, reward, failure, and learned projection updates.
T093	Project all 24 AgentDB native table families	RV§7	ruvllm-agentdb-rvf-integration	data-schema	all 24 table families present in the canonical schema	yes		Preserve the memory family (episodes, episode_embeddings, skills, skill_links, skill_embeddings, facts, notes, note_embeddings, events, consolidated_memories), experience graph (exp_nodes, exp_edges, exp_node_embeddings, memory_scores, memory_access_log, consolidation_runs), and causal/learning frontier (causal_edges, causal_experiments, causal_observations, recall_certificates, provenance_sources, justification_paths, learning_experiences, learning_sessions) in the relational projection.
T094	Import AgentDB definitions with verified object counts	RV§7	byte-capture-reconciliation	data-schema,witness-chain	object-count audit matches 16/34/4/3 and 8/21/2/5	yes		Import AgentDB source indexes, triggers, views, row bytes, change history, and .rvf serialization into the canonical PostgreSQL schemas; the native memory schema contributes 16 tables, 34 indexes, 4 triggers, 3 views and the causal/learning frontier 8 tables, 21 indexes, 2 triggers, 5 views; every definition and row maps into canonical migrations with authority object, tenant, branch, generation, execution, provenance, and witness identifiers.
T095	Enforce AgentDB vs PostgreSQL ownership split	RV§7	ruvllm-agentdb-rvf-integration	cow-branching,postgres-ruvector-store	Audit: branch/promotion pointer changes originate only from lifeos_runtime/lifeos_release procedures; .rvf containers carry no durable-ownership rows	yes		AgentDB retains active memory, agent-specific state, SONA matrices, MicroLoRA adapters, FastGRNN routing graphs, witness chains, RL state, versions, signatures, and portable identity while PostgreSQL/RuVector controls tasks, policy, branches, promotion, and durable ownership.
T096	Store complete .rvf containers with projections and receipts	RV§7	byte-capture-reconciliation	ruvllm-agentdb-rvf-integration,witness-chain	export/reimport digest-equality receipt exists per container	yes		For each RVF container store the complete .rvf file as chunked bytea with SHA-256 and SHAKE256 identities; header, manifest, generation, parent generation, segment directory, offsets, lengths, checksums, alignment, compression/quantization metadata; every segment's original bytes plus decoded relational/vector/graph/model/adapter/branch/witness/signature projections; signatures, signers, trust chain, import/export execution, device, tool revision, policy, verification result; and round-trip reconstruction receipts proving exported .rvf bytes equal the selected generation.
T097	Implement RVF container format contract	RV§7	ruvllm-agentdb-rvf-integration	none	rvf-integration-tests pass including two-fsync crash recovery	yes		Implement RVF as the portable single-file cognitive container using 64-byte alignment, 24 segment kinds, progressive HNSW layers, quantized sections, COW_MAP, MEMBERSHIP, WITNESS_SEG, and CRYPTO segments, append-only generations, and two-fsync recovery, built from the detached workspace (rvf-types 0.2.1, rvf-runtime 0.3.0, rvf-index/quant/crypto 0.2.0, wire, manifest, kernel, Node, WASM, server, import, launch, eBPF, CLI, federation, solver, adapters for Ruflo/AgentDB/OSpipe/agentic-flow/rvlite/SONA).
T098	Deploy shared frozen foundation model	RV§8	ruvllm-agentdb-rvf-integration	sona-rl	multi-agent sharing check; model digest stable across agents	yes		Map one shared frozen foundation model once and serve multiple agents with per-agent KV-cache, MicroLoRA, SONA, routing, memory, and policy state, giving VRAM-efficient multi-agent execution with stable model identity across comparisons.
T099	Build ruvllm with required features and device path	RV§8	ruvllm-agentdb-rvf-integration	nix-release-gate	cargo build of ruvllm with the stated feature list succeeds	yes		Build ruvllm with default features async-runtime, candle, routing-metrics, quantize, hub-download; integrated builds additionally enable attention, graph, gnn, ruvector-full, parallel, mmap, gguf-mmap, fused-act, and the selected device path (inference-cuda, inference-metal, metal-compute, coreml, or hybrid-ane); runtime paths include Candle CPU/SIMD, Candle CUDA, ONNX/ort, GGUF mmap, CUDA fused activation, Metal/ANE, NAPI, WASM, sparse attention, retrieval diffusion, and Hailo edge workers.
T100	Configure RuvLTRA model profiles	RV§8	ruvllm-agentdb-rvf-integration	ruflo-ruvltra-atas	both profiles load and serve a smoke inference	yes		Configure RuvLTRA-Small as the 494M-parameter/32K-context profile and RuvLTRA-Medium as the 3B/256K profile; Ruflo and ATAS use them for proportional-intelligence routing and global temporal forecasting.
T101	Configure quantization and cache controls	RV§8	ruvllm-agentdb-rvf-integration	none	memory/throughput benchmark under the quantized configuration	yes		Configure TurboQuant, scalar/product/binary quantization, 2-bit and 4-bit KV-cache quantization, H2O/PyramidKV, paged attention, X-LoRA, and ISQ to control memory and throughput.
T102	Wire database-approved MicroLoRA hot-swap	RV§8	ruvllm-agentdb-rvf-integration	cow-branching,sona-rl	adapter swap is gated by a database approval record	yes		MicroLoRA adapters hot-swap by database-approved agent, task, domain, branch, and generation.
T103	Capture every inference and embedding byte-complete	RV§8	byte-capture-reconciliation	witness-chain,postgres-ruvector-store	a stored inference row replays deterministically from captured state	yes		Store for every inference the exact prompt/message bytes, system/tool context, retrieved byte ranges, tokenized input, tokenizer/model/weight digest, quantization, adapter and SONA generation, FastGRNN route, AgentDB/RVF generation, random seed, sampling parameters, attention/cache configuration, device/driver/kernel identity, input/output tensors, output token stream, decoded bytes, tool calls, costs, timing, errors, and witness linkage; local embedding generation follows the same capture contract.
T104	Implement SONA learning stack without base mutation	RV§9	sona-rl	ruvllm-agentdb-rvf-integration	base model digest unchanged after a learning cycle	yes		Implement SONA (Self-Optimizing Neural Architecture) combining BaseLoRA, MicroLoRA, EWC++, a trajectory buffer, ReasoningBank, instant learning, background consolidation, and Rust/NAPI/WASM execution, learning from database-grounded episodes without mutating the frozen base model.
T105	Wire the full RL learning loop	RV§9	sona-rl	cow-branching,witness-chain,graph-gnn-causal	a loop run produces a recorded promotion or rollback decision	yes		Wire: captured request+route+retrieval+inference+execution+result → reward/quality/safety/cost/latency/success-threshold/failure-pattern → Thompson Sampling / Q-Learning / SARSA / DQN / A2C / PPO / Decision Transformer / Curiosity / REINFORCE updates → SONA matrix + MicroLoRA delta + FastGRNN route + ranking-policy branch → replay, causal, MinCut, witness, build, and task evaluation → database-controlled promotion or rollback.
T106	Configure RL algorithm roles with database caps	RV§9	sona-rl	graph-gnn-causal	exploration test confirms database constraint caps are enforced	yes		Thompson Sampling selects routes and tools with safety Beta distributions and cost/latency estimates; Q-Learning, SARSA, DQN learn action values; PPO and A2C update bounded policies; Decision Transformer learns trajectories; Curiosity and REINFORCE expand exploration while database constraints cap impact; FastGRNN provides low-latency recurrent context and proportional-intelligence routing.
T107	Version all learning outputs by branch	RV§9	sona-rl	cow-branching	branch-scoped learning versions are queryable	yes		Performance-based ranking changes, success thresholds, failure-pattern learning, adapter updates, policy matrices, and promotion decisions are versioned by branch.
T108	Persist RL state with witnessed pointer activation	RV§9	sona-rl	witness-chain,postgres-ruvector-store	activation occurs only via witnessed pointer update; prior state replays	yes		PostgreSQL/RuVector stores each episode, observation, action, reward component, return, advantage, probability, value estimate, gradient/delta, EWC constraint, matrix/tensor, adapter bytes, route, replay result, promotion gate, rollback, and witness; a learned state becomes active only through a witnessed database pointer update and earlier states remain replayable.
T109	Attach witness record to every event	RV§10	witness-chain	data-schema	sampled event rows contain the complete chain record fields	yes		Every source assertion, retrieved context, model claim, code edit, dependency conclusion, graph edge, task result, package output, build artifact, release, adapter update, and promotion carries a cryptographic witness whose chain record includes sequence, previous SHAKE256, event kind, tenant, branch, request, execution, source object/chunk/range, vector/graph identities, input digest, output digest, tool/model/adapter revision, policy, time, signer, and signature.
T110	Compute canonical SHAKE256 witness digest	RV§10	witness-chain	none	recomputed digest matches the stored witness digest	yes		The canonical witness digest is SHAKE256 over a domain-separated canonical encoding of the record and every referenced byte digest.
T111	Dual-carry witness chain in RVF and PostgreSQL	RV§10	witness-chain	ruvllm-agentdb-rvf-integration,postgres-ruvector-store	RVF chain and PostgreSQL chain equivalence check	yes		RVF WITNESS and CRYPTO segments carry the portable chain; PostgreSQL rows carry the authoritative sequence, source-vector linkage, causal lineage, signatures, verification outcome, and full referenced bytes.
T112	Implement claim verification against source bytes	RV§10	witness-chain	graph-gnn-causal,byte-capture-reconciliation	a seeded ungrounded claim is rejected by verification	yes		Claim verification resolves every endpoint to stored source bytes, checks object and vector identities, traverses causal and dependency edges, replays transformations, and rejects ungrounded graph endpoints.
T113	Implement code-edit and dependency verification	RV§10	witness-chain	codedb-ingress,nix-release-gate,cow-branching	edit and dependency verification pass on a test change	yes		Code-edit verification reconstructs before/after bytes, AST and symbol diffs, tests, compiler output, and branch provenance; dependency verification checks the exact lockfile, crate/package, feature, build, binary, and release closure; tamper evidence, replayable audit history, and complete provenance extend from initial ingress through release activation.
T114	Implement ATAS forecasting on isolated branches	RV§11	ruflo-ruvltra-atas	cow-branching,sona-rl	Forecast rows carry observation-linked calibration; no branch pointer change originates from ATAS	yes		ATAS (Agentic Temporal Attractor Studio) combines Echo-State Networks/reservoir computing, temporal strange attractors, coherence graphs, cut profiles, RuvLTRA temporal reasoning, RuVector temporal tensors, TimesFM, AgentDB episodes, RVF COW timelines, Ruflo ensembles, MinCut boundary isolation, and graph repair. Each forecast creates isolated future-timeline branches and ensemble simulations; actual outcomes return to the forecast record, update calibration, and train SONA/RL, preserving predicted-versus-observed history. Forecasts inform the decision gate and never self-promote a branch.
T115	Build flexnetos-redb-owner single-writer service	RV§12	redb-state-plane	none	Second concurrent redb database-file open fails; owner socket authenticates and versions commands	yes		Implement the supervised `flexnetos-redb-owner` owning the only writable redb 4.1 handle (writable opener cannot coexist with a second read-only opener) and exposing versioned authenticated Unix-domain commands. It is one logical redb live plane with one mutation authority — not a competing database or HTTP service.
T116	Publish atomically versioned read-only mmap projection	RV§12	redb-state-plane	witness-chain	Reader validates header checksum/generation; no partial snapshot observable during publish	yes		The owner publishes ui_projection as an atomically versioned read-only mmap region with mmap_projection_header (magic, format/schema revision, active slot, generation, local_seq, payload length, checksum, source transaction, PostgreSQL commit identity, witness reference) and two or more immutable mmap_projection_slot regions, building/verifying/fsyncing then atomically publishing without exposing partial snapshots, emitting an ordered event per published generation.
T117	Create owner-managed redb table layout	RV§12	redb-state-plane	none	All named tables present with contracted fields	yes		Implement tables: ingress_frame (sequence, request/hop, raw-byte object and ordered frame refs, validated typed envelope, plugin-protocol revision, identity, time, checksum, PostgreSQL commit key), operation_wal (intended transaction, idempotency key, attempt, retry schedule, ack, exact payload), ui_projection, semantic_cache, inference_dedupe, geometry_vector, plus retry, scratchpad, session, lease_mirror, materialization, execution_frame, and reconcile_cursor.
T118	Implement in-path geometry engine	RV§12	redb-state-plane	postgres-ruvector-store	Geometry results in redb match committed RuVector column values	yes		The geometry engine executes vector-coordinate storage, Euclidean/L2, dot product, cosine distance/similarity, normalization, centroid, temporal delta, and SIMD-ready batch operations in the integrated application path for immediate UI/routing; the same coordinates and results are committed to RuVector columns.
T119	Implement monotonic idempotent reconciliation and recovery	RV§12	redb-state-plane	envctl-committer-security,codedb-ingress	Kill/restart owner: cursor replays exactly; duplicate commits absorbed via idempotency receipt	yes		Owner reserves local sequence and commits the complete logical WAL record; publishes matching projection generation; envctl validates and executes the PostgreSQL transaction through the CodeDB mapping with a stable idempotency key; owner stores db transaction/LSN/generation/witness ack and republishes affected state; contiguous cursor advances; only acknowledged local projection may compact after canonical capture. Retries preserve every attempt/error; restart recovery validates contiguous sequence, rebuilds/republishes the mmap read model, replays from last acknowledged cursor, and treats a matching idempotency receipt as success.
T120	Benchmark commit-to-render latency	RV§12	glass-engine-frontdoor	redb-state-plane	Latency benchmark receipts stored; no HTTP live-state server and no PG polling on hot path	yes		LifeOS verifies and reads the mapped generation from owner events (sequence, transaction, table/key scope, generation, active slot, checksum) and requests a fresh snapshot only on schema mismatch, missing generation, checksum failure, or recovery; mmap reads plus Unix-socket events replace HTTP server and PostgreSQL polling on the hot path. Commit-to-render latency must be benchmarked; sub-millisecond is an acceptance target, not an assumed guarantee.
T121	Implement envctl four coupled paths	RV§13	envctl-committer-security	postgres-ruvector-store,data-schema	envctl_row generations round-trip with witness identifiers; symlink activation preserves live Zellij session	yes		(1) Discovery/ingress: files/host state become Nushell tables, validated envctl rows, original byte objects, semantic records, and CodeDB transactions with originals immutable; (2) database synchronization: read/write canonical lifeos_coord.envctl_table and envctl_row generations under task, branch, identity, policy, lease, with local tables carrying database generation and witness identifiers; (3) projection/materialization; (4) security/activation via Secret Engine, Broker, Mint, Seed Vault, Cognitum Seed, Relay with atomic symlink activation and Yazelix/Zellij session-preserving reload, every effect returning to the database.
T122	Generate all materialized configs with provenance markers	RV§13	envctl-committer-security	witness-chain	Every generated file header carries generator revision, source generation, checksum, and do-not-edit marker	yes		Database-selected rows generate bootstrap.nu, bootstrap.sh, Codex config fragments, MCP config, Yazelix settings, RTK config, GitKB references, meta manifests, runner environment, Rust/Fenix/Kache/wild environment, CUDA/NVIDIA environment, and database environment. Each generated object contains generator revision, source table/generation, checksum, timestamp, branch, witness, and do-not-edit marker.
T123	Build envctl with ruvector feature bundles	RV§13	envctl-committer-security	postgres-ruvector-store,redb-state-plane	envctl builds with these features; redb event log fully reconciled into PG	yes		Enable the `ruvector` feature (ruvector-core/graph/ruvllm/RVF integration), `ruvector-pg` (PostgreSQL extension client with pg17), and `ruvector-cuda` (fused/CUDA inference) as authorized; envctl's redb 4.1 events, migrations, evidence, checkpoints, rollback, and sessions reconcile completely to PostgreSQL/RuVector.
T124	Implement CodeDB BlobStore with PG/redb parity	RV§14	codedb-ingress	redb-state-plane,postgres-ruvector-store	Redb/PostgreSQL parity: identical hashes, metadata, paths, modes, symlinks, BOMs, and binary reconstruction	yes		The CodeDB BlobStore contract has PostgreSQL and redb implementations with differential round-trip behavior; it imports complete directory trees, file bytes, binaries, BOMs, symlinks, modes, paths, ownership metadata, source identity, checksums, and provenance; Cargo/static analysis and build capture add crates, workspaces, feature resolution, rustc/cargo messages, ASTs, symbols, types, dependencies, diagnostics, artifacts, and command exhaust.
T125	Wire the live typed ingress route	RV§14	codedb-ingress	rtk-rtk-nu-envelope,redb-state-plane,envctl-committer-security	Typed round trip through nu_plugin_codedb returns the committed identity with raw-object linkage	yes		Implement: immutable raw object/frame refs + Nu value + typed table + identity + provenance → Nushell 0.113.1 invokes nu_plugin_codedb → MessagePack plugin frames → CodeDB core and build/static/context enrichers → flexnetos-redb-owner client protocol → redb 4.1 transaction/event → envctl validation/authorization/ordered reconciliation → codedb-store-pg mapping over postgres/rustls → PostgreSQL byte objects + relational rows + RuVector projections → typed query result through the same plugin process. codedb, codedb-mcp, and nu_plugin_codedb share object identities; rtk adds compact views; rtk_nu supplies the byte-first envelope with raw-object linkage; original logs/blobs stay attached.
T126	Build hermetic Nix shell and package extension	RV§15	nix-release-gate	none	In-shell asserts: cargo pgrx --version = 0.12.9; pg_config --version = PostgreSQL 17.10; pgrx test/package succeed	yes		"Evaluate FlexNetOS/yazelix at 01790ae2292a0060acb015d72e3bec8a21b0b0ef, import its locked nixpkgs, assert x86_64-linux and PostgreSQL 17.10, compose a shell around lifeos_foundation_yzx, build cargo-pgrx 0.12.9 in-closure from pgcentralfoundation/pgrx rev a21888973a18b787fa2c09f86936ea9c4a20de4b (no host cargo-pgrx), materialize RuVector at /srv/flexnetos/sources/RuVector/6a6c39e6..., resolve pg_config from the closure, then cargo pgrx init --pg17, and build/test/package crates/ruvector-postgres with FEATURES=""pg17,index-all,quant-all,all-features-v3""."
T127	Run full multi-plane build/test matrix	RV§15	nix-release-gate	byte-capture-reconciliation	All listed commands exit 0 with locked inputs	yes		From pinned sources: cargo build/test --workspace --locked on RuVector root and crates/rvf; cargo test crates/ruvllm --locked --features inference-cuda,fused-act,parallel,ruvector-full,mmap,gguf-mmap; bun install --frozen-lockfile + build + test in RuVector npm tree and packages/ruvector (build:napi); wasm-pack build/test --node for ruvector-wasm and rvf-wasm; bun build + test:ci for agentdb and ruflo; nvidia-smi then ruvllm inference-cuda test. CI matrix also runs pg17,index-all,quant-all,graph-complete; NAPI builds outside source dirs into isolated exhaust trees; WASM into separate generated trees; x86_64-unknown-linux-musl for self-contained CLI/worker surfaces while PG/GPU/driver-linked components keep dynamic closures.
T128	Capture complete build exhaust before acknowledgement	RV§15	byte-capture-reconciliation	codedb-ingress,envctl-committer-security	Build task ack exists only where full exhaust rows exist in lifeos_release/lifeos_blob	yes		Every command's argv, environment, cwd, source digest, lockfile bytes, compiler/runtime versions, stdout, stderr, exit code, artifact bytes, Nix derivation/output paths, device inventory, and witness must return through CodeDB/envctl into PostgreSQL/RuVector before the build task is acknowledged.
T129	Gate release via runner proof and atomic activation	RV§15	nix-release-gate	envctl-committer-security,witness-chain	Release activation row references runner receipts, proof manifest, and rollback target; session survives reload	yes		flexnetos_runner consumes a signed database JobSpec and exact Nix closure, returning raw logs, NDJSON audit, test reports, artifacts, checksums, manifests, CodeDB proof manifest, witnesses, and rollback data; PostgreSQL/RuVector approves the release branch, envctl materializes it, an atomic symlink selects it, and Yazelix/Zellij reloads without destroying the user session. GitKB and meta bind source revisions, package graph, task map, drift record, release graph, and handoff.
T130	Create ruvector database, extensions schema, and roles	RV§16	data-schema	postgres-ruvector-store	Extension-location DO-block passes; all nine roles exist with correct RLS/replication attributes	yes		Database is named `ruvector`; install extensions ruvector, pgcrypto, btree_gin in schema `extensions` with a guard raising if any lands elsewhere; create roles lifeos_migrator (BYPASSRLS), lifeos_security_owner (BYPASSRLS), lifeos_runtime, lifeos_envctl, lifeos_reader, lifeos_worker, lifeos_security_broker, lifeos_release (all NOBYPASSRLS), lifeos_backup (REPLICATION) with pg_read_all_data/settings grants; UUID identities database-generated, monotonic sequences, timestamptz, WAL LSN commit binding.
T131	Create ten lifeos schemas and full table catalog	RV§16	data-schema	postgres-ruvector-store	All cataloged relations exist; chunk-set gap/length invariant enforced by verify_object	yes		Create schemas lifeos_blob, lifeos_semantic, lifeos_runtime, lifeos_agent, lifeos_agentdb, lifeos_rvf, lifeos_security, lifeos_coord, lifeos_release, lifeos_ops owned by lifeos_migrator, with all tables of the §16.1 catalog (blob: import_session/object/object_chunk/tree_entry/host_path/xattr/symlink/capture_event; semantic: document/ast_node/token/symbol/symbol_ref/type_record/function_record/dependency_edge/embedding/lexical_document/graph_node/graph_edge/causal_edge/transform/index_generation; runtime: session/request/request_hop/task/task_dependency/queue/lease/execution/effect/result/log_frame/error/projection/branch/branch_overlay/merge_conflict/merge_gate/promotion/inbox/outbox/reconcile_commit; agent, agentdb, rvf, security, coord, release, ops tables as cataloged). Stored objects must have inline bytes or a gap-free chunk set totaling byte_length.
T132	Apply canonical-envelope catalog migration	RV§16	data-schema	byte-capture-reconciliation	Canonical tables carry typed_payload+raw_object_id with rewrite-prevention triggers installed	yes		Materialize every remaining catalog name via lifeos_ops.create_canonical_table with lossless typed_payload JSONB envelope and immutable raw_object_id linkage, deterministic ordering and idempotency, JSONB/traversal/record-digest/branch-sequence indexes, lifeos_ops.prevent_canonical_link_rewrite triggers, and tenant isolation across every application schema; domain migrations may promote hot envelope fields to columns without discarding either representation.
T133	Enforce immutability, RLS, and guard triggers	RV§16	data-schema	witness-chain	UPDATE/DELETE on guarded tables rejected; cross-tenant reads return zero rows under runtime roles	yes		Install: RVF append-only prevent_rewrite triggers; blob prevent_object_rewrite/prevent_chunk_rewrite and enforce_object_integrity; tenant RLS policies (tenant_id = lifeos_security.current_tenant()) on all application tables plus explicit policies for object_chunk, lexical_document, request_hop, branch_overlay, witness_entry, object_observation; envelope-digest guard; tenant-reference guard triggers; embedding projection dimension trigger and append-only embedding triggers; witness_entry append-only; log_frame writer guard; execution-completion, branch-head-witness, secret-lease-grant, and release-activation guard triggers.
T134	Create dimension-specific embedding projections and RuVector indexes	RV§16	retrieval-indexing	data-schema,postgres-ruvector-store	Insert of wrong-dimension embedding rejected; HNSW/ruivfflat indexes usable in plans	yes		Use lifeos_semantic.create_embedding_index to create ruvector(384), ruvector(768), and model-native-dimension projection tables with HNSW indexes over ruvector_cosine_ops/l2_ops/ip_ops and ruivfflat cosine indexes so operator classes validate shape; enforce_embedding_projection validates dimensions on insert/update.
