"conflict_id","source_repo","source_task_surface","prior_task_ids","prior_claim","observed_evidence","conflict","canonical_task_ids","disposition","execution_gate","evidence_uri"
"TASKCONFLICT-026","NotebookLM Portable Nix Builds via Musl Static Compilation; LifeOS canonical planning graph","NBSOURCE-016 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","NIXMUSL-CLAIM-001; NIXMUSL-CLAIM-002; NIXMUSL-CLAIM-003; NIXMUSL-CLAIM-004; NIXMUSL-CLAIM-005; NIXMUSL-CLAIM-006; NIXMUSL-CLAIM-007; REDB-CLAIM-007; NBSOURCE-001","The source presents or asks about glibc RPATH behavior, no-Nix runtime failure, musl/static portability proposals, build/UI questions, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-016; NBVERIFY-000; FOUNDATION-001; FOUNDATION-002; FOUNDATION-003; POSTGRES-009; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-016-portable-nix-musl-static.md; generated/task_graph.source.csv"
"TASKCONFLICT-027","NotebookLM Portable Nix Bundles and Executable Closures; LifeOS canonical planning graph","NBSOURCE-017 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","NIXBUNDLE-CLAIM-001; NIXBUNDLE-CLAIM-002; NIXBUNDLE-CLAIM-003; NIXBUNDLE-CLAIM-004; NIXBUNDLE-QUESTION-001; NIXBUNDLE-PROVENANCE-001; SWARM-CLAIM-001; SWARM-CLAIM-006; TASKCONFLICT-014; DBX-CLAIM-013; SWARM-CLAIM-005","The source presents or asks about nix bundle, AppImage, nix-user-chroot/buildEnv, install-in-place portability, agent-startup question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-017; NBVERIFY-000; FOUNDATION-001; FOUNDATION-003; LIFEOS-003; LIFEOS-005; POSTGRES-006; POSTGRES-009; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-017-portable-nix-bundles-closures.md; generated/task_graph.source.csv"
"TASKCONFLICT-028","NotebookLM PostgreSQL Semantic Codebase Management; LifeOS canonical planning graph","NBSOURCE-018 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","PGSCM-CLAIM-001; PGSCM-CLAIM-002; PGSCM-CLAIM-003; PGSCM-CLAIM-004; PGSCM-CLAIM-005; PGSCM-PROVENANCE-001; PGSCM-QUESTION-001; DBX-CLAIM-005; DBX-CLAIM-003; DBX-CLAIM-004; POSTGRES-002; DBX-CLAIM-006; POSTGRES-005; DBX-CLAIM-014; SWARM-CLAIM-014","The source presents or asks about PostgreSQL code hosting, prompt-context elimination, SQL/RuVector function and dependency retrieval, semantic IDE framing, embedding question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-018; NBVERIFY-000; LIFEOS-003; POSTGRES-002; POSTGRES-003; POSTGRES-004; POSTGRES-005; POSTGRES-007; POSTGRES-009; POSTGRES-010","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-018-postgresql-semantic-codebase.md; generated/task_graph.source.csv"
"TASKCONFLICT-029","NotebookLM Proportional Intelligence and Task Routing in RuvLTRA; LifeOS canonical planning graph","NBSOURCE-019 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","NBS019-ROUTING-001; NBS019-ROUTING-002; NBS019-MODEL-001; NBS019-MODEL-002; NBS019-TIMELINE-001; NBS019-TIMELINE-002; NBS019-PROVENANCE-001; NBS019-CLOSING-001","The source presents or asks about RuvLTRA proportional routing, local/cloud model selection, future-timeline steering, build/review question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-019; NBVERIFY-000; INTEL-002; LIVING-002; POSTGRES-005; POSTGRES-006; POSTGRES-007; STORE-001","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-019-ruvltra-proportional-routing.md; generated/task_graph.source.csv"
"TASKCONFLICT-030","NotebookLM Relational Synthesis: Code Manipulation via Semantic SQL Queries; LifeOS canonical planning graph","NBSOURCE-020 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","REL-CLAIM-001; REL-CLAIM-002; REL-CLAIM-003; REL-CLAIM-004; REL-CLAIM-005; REL-PROPOSAL-001; REL-QUESTION-001; REL-PROVENANCE-001","The source presents or asks about SQL/RuVector semantic retrieval, dependency tracing, direct row updates, envctl materialization question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-020; NBVERIFY-000; ADOPT-002; FOUNDATION-003; LIFEOS-003; POSTGRES-002; POSTGRES-003; POSTGRES-005; POSTGRES-007; POSTGRES-008; POSTGRES-009; POSTGRES-010; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-020-relational-semantic-sql-code.md; generated/task_graph.source.csv"
"TASKCONFLICT-031","NotebookLM RuVector Cognitive Architecture and Neural Database Logic; LifeOS canonical planning graph","NBSOURCE-021 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","RUVCOG-CLAIM-001; RUVCOG-CLAIM-002; RUVCOG-CLAIM-003; RUVCOG-CLAIM-004; RUVCOG-CLAIM-005; RUVCOG-CLAIM-006; RUVCOG-CLAIM-007; RUVCOG-CLAIM-008; RUVCOG-CLAIM-009; RUVCOG-CLAIM-010; RUVCOG-CLAIM-011; RUVCOG-CLAIM-012; RUVCOG-CLAIM-013; RUVCOG-CLAIM-014; DBX-CLAIM-003; DBX-CLAIM-004; SWARM-CLAIM-013; DBX-CLAIM-010; DBX-CLAIM-011; DBX-CLAIM-012; DBX-CLAIM-005; SWARM-CLAIM-014; DBX-CLAIM-014","The source presents or asks about RuVector/GNN cognition, SONA, FastGRNN, witness and causal verification, absolute anti-hallucination claims, routing/build question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-021; NBVERIFY-000; ADOPT-002; GRAPH-001; INTEL-001; INTEL-002; LIFEOS-003; LIFEOS-005; LIVING-002; LPS-005; LPS-007; PGAUTH-001; PGAUTH-003; POSTGRES-003; POSTGRES-005; POSTGRES-006; POSTGRES-010","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-021-ruvector-cognitive-neural-database.md; generated/task_graph.source.csv"
"TASKCONFLICT-032","NotebookLM RuVector MinCut: Deterministic Swarm Integrity and Logic Isolation; LifeOS canonical planning graph","NBSOURCE-022 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","MINCUT-CLAIM-001; MINCUT-CLAIM-002; MINCUT-CLAIM-003; MINCUT-CLAIM-004; MINCUT-CLAIM-005; MINCUT-CLAIM-006; MINCUT-CLAIM-007; MINCUT-CLAIM-008; MINCUT-CLAIM-009; MINCUT-CLAIM-010; MINCUT-CLAIM-011; MINCUT-CLAIM-012; MINCUT-CLAIM-013; MINCUT-CLAIM-014; MINCUT-CLAIM-015; MINCUT-CLAIM-016; DBX-CLAIM-007; DBX-CLAIM-008; DBX-CLAIM-009; DBX-CLAIM-013; DBX-CLAIM-014; SWARM-CLAIM-014; MINCUT-CLAIM-005; MINCUT-CLAIM-006; MINCUT-CLAIM-008; MINCUT-CLAIM-009; MINCUT-CLAIM-011; MINCUT-CLAIM-012","The source presents or asks about MinCut monitoring, weakest-link isolation, millisecond severing, rerouting, integrity, phase/readiness questions, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-022; NBVERIFY-000; LIFEOS-003; LIFEOS-011; LPS-005; LPS-006; POSTGRES-005; POSTGRES-008; POSTGRES-009; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-022-ruvector-mincut-integrity.md; generated/task_graph.source.csv"
"TASKCONFLICT-033","NotebookLM RuVector: Postgres Extension for AI; LifeOS canonical planning graph","NBSOURCE-023 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","RUVPG-CLAIM-001; RUVPG-CLAIM-002; RUVPG-CLAIM-003; RUVPG-CLAIM-004; RUVPG-CLAIM-005; RUVPG-CLAIM-006; RUVPG-CLAIM-007; RUVPG-CLAIM-008; RUVPG-CLAIM-009; RUVPG-CLAIM-010; RUVPG-CLAIM-011; RUVPG-CLAIM-012; RUVPG-CLAIM-013; RUVPG-CLAIM-014; RUVPG-CLAIM-015; RUVPG-CLAIM-016; RUVPG-CLAIM-017; RUVPG-CLAIM-018; RUVPG-CLAIM-019; RUVPG-CLAIM-020; RUVPG-CLAIM-021; RUVPG-CLAIM-022; RUVPG-CLAIM-023; RUVPG-CLAIM-024; RUVPG-CLAIM-025; RUVPG-CLAIM-026; RUVPG-CLAIM-027; RUVPG-CLAIM-028; RUVPG-CLAIM-029; RUVPG-CLAIM-030; RUVPG-CLAIM-031; RUVPG-CLAIM-032; RUVPG-CLAIM-033; RUVPG-CLAIM-034; RUVPG-CLAIM-035; RUVPG-CLAIM-036; RUVPG-CLAIM-037; RUVPG-CLAIM-038; RUVPG-CLAIM-039; RUVPG-CLAIM-040; RUVPG-CLAIM-041; RUVPG-CLAIM-042; RUVPG-CLAIM-043; RUVPG-CLAIM-044; RUVPG-CLAIM-045; RUVPG-CLAIM-046; RUVPG-CLAIM-047; RUVPG-CLAIM-048; RUVPG-CLAIM-049; RUVPG-CLAIM-050; RUVPG-CLAIM-051; RUVPG-CLAIM-052; RUVPG-CLAIM-053; RUVPG-CLAIM-054; RUVPG-CLAIM-055; REDB-CLAIM-002; REDB-CLAIM-004; REDB-CLAIM-006; REDB-CLAIM-014; EDGE-CLAIM-001; EDGE-CLAIM-002; EDGE-CLAIM-004; TASKCONFLICT-011; TASKCONFLICT-012; NUPG-CLAIM-003; NUPG-CLAIM-005; NUPG-CLAIM-006; NUPG-CLAIM-007; NUPG-CLAIM-008; TASKCONFLICT-013; SWARM-CLAIM-005; SWARM-CLAIM-006; SWARM-CLAIM-007; TASKCONFLICT-014; DBX-CLAIM-004; DBX-CLAIM-006; DBX-CLAIM-007; DBX-CLAIM-008; DBX-CLAIM-009; DBX-CLAIM-010; DBX-CLAIM-011; DBX-CLAIM-012; TASKCONFLICT-015; DBX-CLAIM-003; DBX-CLAIM-005","The source presents or asks about PostgreSQL/RuVector, redb, AgentDB, ruvllm, routing, simulation, MinCut, witness, portability, ingestion, semantic code, materialization, questions, and provenance.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-023; NBVERIFY-000; ADOPT-001; ADOPT-002; FOUNDATION-001; FOUNDATION-003; LIFEOS-003; LIFEOS-005; LIFEOS-010; LPS-005; PGAUTH-001; PGAUTH-002; PGAUTH-003; PGAUTH-005; PGAUTH-006; POSTGRES-001; POSTGRES-002; POSTGRES-003; POSTGRES-004; POSTGRES-005; POSTGRES-006; POSTGRES-007; POSTGRES-008; POSTGRES-009; POSTGRES-010; RECOVERY-002; RELEASE-002; STORE-001","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-023-ruvector-postgres-extension-ai.md; generated/task_graph.source.csv"
"TASKCONFLICT-034","NotebookLM RuVector: Seamless AI Integration Within PostgreSQL Architecture; LifeOS canonical planning graph","NBSOURCE-024 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","RVPG-CLAIM-001; RVPG-CLAIM-002; RVPG-CLAIM-003; RVPG-CLAIM-004; RVPG-CLAIM-005; RVPG-CLAIM-006; RVPG-QUESTION-001","The source presents or asks about PostgreSQL extensibility, RuVector extension placement, SQL vector/graph operations, sidecar removal, unified data/AI proposals, hybrid-search question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-024; NBVERIFY-000; ADOPT-002; LIFEOS-002; PGAUTH-001; PGAUTH-006; POSTGRES-005; POSTGRES-007; POSTGRES-010; STORE-001","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-024-ruvector-seamless-postgres.md; generated/task_graph.source.csv"
"TASKCONFLICT-035","NotebookLM Ruflo Meta-Harness: Adaptive Routing and Swarm Coordination; LifeOS canonical planning graph","NBSOURCE-025 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","RUFLO-CLAIM-001; RUFLO-CLAIM-002; RUFLO-CLAIM-003; RUFLO-CLAIM-004; RUFLO-CLAIM-005; RUFLO-CLAIM-006; RUFLO-CLAIM-007; RUFLO-CLAIM-008; RUFLO-CLAIM-009; RUFLO-CLAIM-010; RUFLO-CLAIM-011; RUFLO-CLAIM-012; SWARM-CLAIM-005; SWARM-CLAIM-006; SWARM-CLAIM-013; SWARM-CLAIM-014","The source presents or asks about Ruflo/RuvLTRA adaptive routing, model assignment, ensemble timeline swarms, steering authority, truth/audit question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-025; NBVERIFY-000; ADOPT-002; GRAPH-001; INTEL-002; LIFEOS-003; LIFEOS-005; LIVING-002; LPS-005; LPS-007; PGAUTH-001; PGAUTH-003; POSTGRES-005; POSTGRES-006; POSTGRES-010","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-025-ruflo-meta-harness.md; generated/task_graph.source.csv"
"TASKCONFLICT-036","NotebookLM The Architecture of Simulated Future Timelines; LifeOS canonical planning graph","NBSOURCE-026 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","TIMELINE-CLAIM-001; TIMELINE-CLAIM-002; TIMELINE-CLAIM-003; TIMELINE-CLAIM-004; TIMELINE-CLAIM-005; TIMELINE-CLAIM-006; TIMELINE-CLAIM-007; TIMELINE-CLAIM-008; TIMELINE-CLAIM-009","The source presents or asks about structured future state graphs, projected diffs, resource burn, complexity spikes, failure nodes, stochastic-execution question, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-026; NBVERIFY-000; LIFEOS-003; LIVING-002; LPS-005; LPS-009","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-026-simulated-future-timelines.md; generated/task_graph.source.csv"
"TASKCONFLICT-037","NotebookLM The Four Phases of Database Code Materialization; LifeOS canonical planning graph","NBSOURCE-027 source wording versus Draft implementation, authority, benchmark, release, and owner-decision tasks","MAT-CLAIM-001; MAT-CLAIM-002; MAT-CLAIM-003; MAT-CLAIM-004; MAT-CLAIM-005; MAT-CLAIM-006; MAT-CLAIM-007; MAT-CLAIM-008; MAT-CLAIM-009; MAT-CLAIM-010; MAT-CLAIM-011; REDB-CLAIM-024; REDB-CLAIM-025; DBX-CLAIM-013; DBX-CLAIM-014","The source presents or asks about envctl database-to-directory materialization, branch selection, module paths, file reconstruction, Nix/Yazelix handoff, lifecycle claims, questions, and citations.","The exact source supplies no independent local source, installed-runtime, benchmark, authority, release, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-027; NBVERIFY-000; ADOPT-001; FOUNDATION-003; LIFEOS-011; PGAUTH-004; POSTGRES-004; POSTGRES-005; POSTGRES-007; POSTGRES-008; POSTGRES-009; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-027-four-phase-code-materialization.md; generated/task_graph.source.csv"
